x, y, angle, velocity, spin, velocity_action, spin_action, is_episode_start
-93.11943947228202, 44.96541221335358, 4.0460141741643865, 1.976081883465104, 0.6238877933807114, 0.5, 0.0, 0
-93.19272923590367, 44.87221216429321, 4.0834474417672295, 2.001580222036638, 0.44912977481717775, 0.5, 0.0, 0
-93.26337971301359, 44.77509741633476, 4.110395228256261, 1.9482716596640888, 0.4686470458550728, 0.5, 0.0, 0
-93.32957655199814, 44.67875052554987, 4.138514051007565, 2.017601006833215, 0.46322486876591773, 0.5, 0.0, 0
-93.39529671247735, 44.57708720734426, 4.16630754313352, 1.974916111273422, 0.3177762699377526, 0.5, 0.0, 0
-93.45683619106981, 44.47582541937758, 4.1853741193297855, 2.021008706415416, 0.4717949145414143, 0.5, 0.0, 0
-93.51782483696326, 44.37101845700795, 4.21368181420227, 2.0599493354041565, 0.41425514708195244, 0.5, 0.0, 0
-93.57694009745232, 44.262475403203176, 4.2385371230271875, 2.0170279718670034, 0.33999351630701957, 0.5, 0.0, 0
-93.63216436007639, 44.15478822922648, 4.258936734005609, 2.0283305144691797, 0.4498875768952181, 0.5, 0.0, 0
-93.68547758768388, 44.04538736727646, 4.285929988619322, 2.015333594297925, 0.5100635287177758, 0.5, 0.0, 0
-93.73549609659032, 43.93529740881759, 4.3165338003423885, 1.9714834640586805, 0.4412168290355364, 0.5, 0.0, 0
-93.781108027653, 43.82615602747514, 4.343006810084521, 1.9697132142706093, 0.5479848175251546, 0.5, 0.0, 0
-93.82377666559418, 43.71594459493049, 4.375885899136031, 1.9962793127811231, 0.40761530692221304, 0.5, 0.0, 0
-93.86332555275136, 43.60288550655046, 4.400342817551364, 2.0323262807913833, 0.5516658248008238, 0.5, 0.0, 0
-93.90076181081913, 43.48683471170774, 4.433442767039413, 1.9913068556979816, 0.6708348506483558, 0.5, 0.0, 0
-93.93365932491446, 43.371974603997856, 4.473692858078314, 2.0207700379081426, 0.5560377307759106, 0.5, 0.0, 0
-93.96232628215131, 43.25416608508362, 4.507055121924869, 2.0071444351480405, 0.47303590855942407, 0.5, 0.0, 0
